"","terms","count","probability"
"1","manhattan kansa motel",12,0.0170212765957447
"2","cant wait see",7,0.0099290780141844
"3","new york citi",6,0.00851063829787234
"4","first time sinc",5,0.00709219858156028
"5","happi new year",5,0.00709219858156028
"6","ive never seen",5,0.00709219858156028
"7","carolina gamecock histori",4,0.00567375886524823
"8","dream come true",4,0.00567375886524823
"9","food drug administr",4,0.00567375886524823
"10","happi mother day",4,0.00567375886524823
"11","long time ago",4,0.00567375886524823
"12","love love love",4,0.00567375886524823
"13","south carolina gamecock",4,0.00567375886524823
"14","“young black latino",3,0.00425531914893617
"15","black latino men",3,0.00425531914893617
"16","blood pressur will",3,0.00425531914893617
"17","can chang everyth",3,0.00425531914893617
"18","cochairman chief execut",3,0.00425531914893617
"19","coupl year ago",3,0.00425531914893617
"20","go miss game",3,0.00425531914893617
"21","implement islamic law",3,0.00425531914893617
"22","inch expect block",3,0.00425531914893617
"23","inputbyt inch expect",3,0.00425531914893617
"24","la la la",3,0.00425531914893617
"25","late s earli",3,0.00425531914893617
"26","make sure get",3,0.00425531914893617
"27","never say never",3,0.00425531914893617
"28","nobel peac prize",3,0.00425531914893617
"29","root beer extract",3,0.00425531914893617
"30","state suprem court",3,0.00425531914893617
"31","think im go",3,0.00425531914893617
"32","two year later",3,0.00425531914893617
"33","use daili bread",3,0.00425531914893617
"34","work just fine",3,0.00425531914893617
"35","— delawar river",2,0.00283687943262411
"36","’ realli hard",2,0.00283687943262411
"37","’m go move",2,0.00283687943262411
"38","’m onli one",2,0.00283687943262411
"39","“ just feel",2,0.00283687943262411
"40","“ want help",2,0.00283687943262411
"41","aa run score",2,0.00283687943262411
"42","actual thought minut",2,0.00283687943262411
"43","anyon els read",2,0.00283687943262411
"44","april tualiti commun",2,0.00283687943262411
"45","averag discount will",2,0.00283687943262411
"46","babbi l gabel",2,0.00283687943262411
"47","back st loui",2,0.00283687943262411
"48","bake sheet bake",2,0.00283687943262411
"49","base littl bit",2,0.00283687943262411
"50","basebal softbal team",2,0.00283687943262411
"51","becom free agent",2,0.00283687943262411
"52","beer extract one",2,0.00283687943262411
"53","believ phone will",2,0.00283687943262411
"54","block size let",2,0.00283687943262411
"55","board bag contain",2,0.00283687943262411
"56","boo ticketti boo",2,0.00283687943262411
"57","book ever written",2,0.00283687943262411
"58","book havent read",2,0.00283687943262411
"59","born origin die",2,0.00283687943262411
"60","calcul damag use",2,0.00283687943262411
"61","can hard wait",2,0.00283687943262411
"62","cant anyth said",2,0.00283687943262411
"63","cash squarefoot home",2,0.00283687943262411
"64","cent per gallon",2,0.00283687943262411
"65","charli chocol factori",2,0.00283687943262411
"66","check inputbyt inch",2,0.00283687943262411
"67","chief financi offic",2,0.00283687943262411
"68","chip walnut raisin",2,0.00283687943262411
"69","chocol chip cooki",2,0.00283687943262411
"70","chocol chip walnut",2,0.00283687943262411
"71","cinco de mayo",2,0.00283687943262411
"72","citi perform arts",2,0.00283687943262411
"73","class everi class",2,0.00283687943262411
